Requirement_ID,Evidence_File,Evidence_Line,Evidence_Type,Evidence_Name,Evidence_Content,Match_Score
US_3741409c,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_461947c9,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_461947c9,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.091
US_3a06c4d7,Deadline-MPE\script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,Deadline-MPE\script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,shared_workspace\06_MPE_script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,shared_workspace\06_MPE_script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,shared_workspace\06_MPE_script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,shared_workspace\06_MPE_script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,Deadline-MPE\script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_3a06c4d7,Deadline-MPE\script.js,230,function,damageBase,function damageBase(amount) { if (gameIsOver) return; baseHealth -= amount; if (baseHealth < 0) base...,0.333
US_e513cdf9,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_e513cdf9,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.077
US_834fe58c,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_834fe58c,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.214
US_429d5ed1,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_429d5ed1,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.111
US_c1588fa7,Deadline-MPE\script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,Deadline-MPE\script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,Deadline-MPE\script2.js,185,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,Deadline-MPE\script2.js,185,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,shared_workspace\03_main_script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,shared_workspace\03_main_script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,shared_workspace\06_MPE_script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_c1588fa7,shared_workspace\06_MPE_script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.333
US_93fec27a,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_93fec27a,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.125
US_4279e4b6,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,Deadline-MPE\script.js,238,function,gameOver,function gameOver() { gameIsOver = true; clearInterval(gameLoopInterval); clearInterval(dayTimerInte...,0.111
US_4279e4b6,Deadline-MPE\script.js,238,function,gameOver,function gameOver() { gameIsOver = true; clearInterval(gameLoopInterval); clearInterval(dayTimerInte...,0.111
US_4279e4b6,Deadline-MPE\script.js,238,function,if,function gameOver() { gameIsOver = true; clearInterval(gameLoopInterval); clearInterval(dayTimerInte...,0.111
US_4279e4b6,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_4279e4b6,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
US_e73f51b5,Deadline-MPE\style.css,174,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button { /* Combined styling for smaller buttons */,0.250
US_e73f51b5,Deadline-MPE\style.css,196,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button {,0.250
US_e73f51b5,shared_workspace\08_MPE_style.css,174,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button { /* Combined styling for smaller buttons */,0.250
US_e73f51b5,shared_workspace\08_MPE_style.css,196,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button {,0.250
US_e73f51b5,shared_workspace\08_MPE_style.css,174,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button { /* Combined styling for smaller buttons */,0.250
US_e73f51b5,shared_workspace\08_MPE_style.css,196,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button {,0.250
US_e73f51b5,Deadline-MPE\style.css,174,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button { /* Combined styling for smaller buttons */,0.250
US_e73f51b5,Deadline-MPE\style.css,196,selector,.remove-habit-from-routine-button,.remove-habit-from-routine-button {,0.250
US_75feb4d3,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_75feb4d3,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.167
US_8d625aa3,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_8d625aa3,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
US_18d06bf4,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.000
PERF_0d7e42a9,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_0d7e42a9,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.333
PERF_a1773ea6,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,shared_workspace\06_MPE_script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
PERF_a1773ea6,shared_workspace\06_MPE_script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.000
